произошедшие с 06 по 07 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;158.0;15,3;29.0;52,6;211.0;25,6;12,1
Центральный федеральный округ;33.0;-2,9;4.0;-20,0;41.0;-2,4;8,9
Белгородская область;2.0;100,0;0.0;-100,0;4.0;300,0;стаб.
Брянская область;1.0;стаб.;0.0;-100,0;3.0;200,0;стаб.
Владимирская область;1.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Воронежская область;4.0;100,0;2.0;100,0;4.0;100,0;33,3
Ивановская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Калужская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Липецкая область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
гор. Москва;6.0;-33,3;2.0;100,0;6.0;-40,0;25,0
Московская область;8.0;14,3;0.0;-100,0;9.0;стаб.;стаб.
Орловская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Рязанская область;3.0;200,0;0.0;-100,0;3.0;50,0;стаб.
Смоленская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Тамбовская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тверская область;4.0;100,0;0.0;-100,0;5.0;66,7;стаб.
Тульская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ярославская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Северо-Западный федеральный округ;9.0;12,5;0.0;-100,0;11.0;22,2;стаб.
Республика Карелия;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Коми;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Калининградская область;1.0;стаб.;0.0;-100,0;1.0;100,0;стаб.
Ленинградская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
гор. Санкт-Петербург;2.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Псковская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;18.0;стаб.;8.0;33,3;19.0;-9,5;29,6
Республика Адыгея (Адыгея);0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Калмыкия;1.0;-50,0;0.0;-100,0;2.0;-33,3;стаб.
Республика Крым;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Краснодарский край;7.0;-22,2;4.0;33,3;6.0;-40,0;40,0
Астраханская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Волгоградская область;3.0;50,0;3.0;100,0;4.0;100,0;42,9
Ростовская область;4.0;стаб.;1.0;стаб.;3.0;-40,0;25,0
гор. Севастополь;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Северо-Кавказский федеральный округ;10.0;150,0;2.0;100,0;17.0;142,9;10,5
Республика Дагестан;5.0;100,0;2.0;100,0;9.0;100,0;18,2
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;1.0;стаб.;0.0;-100,0;1.0;-75,0;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;3.0;200,0;0.0;-100,0;5.0;400,0;стаб.
Приволжский федеральный округ;34.0;6,3;10.0;900,0;49.0;25,6;16,9
Республика Башкортостан;2.0;стаб.;5.0;100,0;3.0;50,0;62,5
Республика Марий Эл;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Мордовия;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Татарстан (Татарстан);2.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Удмуртская Республика;2.0;100,0;2.0;100,0;3.0;100,0;40,0
Чувашская Республика - Чувашия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Пермский край;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Кировская область;1.0;-80,0;0.0;-100,0;1.0;-83,3;стаб.
Нижегородская область;8.0;-33,3;0.0;-100,0;11.0;-15,4;стаб.
Оренбургская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Пензенская область;2.0;-33,3;1.0;100,0;3.0;-25,0;25,0
Самарская область;5.0;400,0;1.0;100,0;4.0;300,0;20,0
Саратовская область;6.0;200,0;1.0;стаб.;15.0;650,0;6,3
Ульяновская область;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Уральский федеральный округ;16.0;60,0;1.0;стаб.;22.0;100,0;4,3
Курганская область;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Свердловская область;3.0;-40,0;1.0;стаб.;4.0;-33,3;20,0
Тюменская область;5.0;100,0;0.0;-100,0;7.0;100,0;стаб.
Челябинская область;3.0;50,0;0.0;-100,0;4.0;100,0;стаб.
Ханты-Мансийский автономный округ - Югра;1.0;стаб.;0.0;-100,0;3.0;200,0;стаб.
Ямало-Ненецкий автономный округ;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Сибирский федеральный округ;21.0;5,0;3.0;200,0;28.0;12,0;9,7
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;2.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Республика Хакасия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Алтайский край;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Красноярский край;4.0;стаб.;2.0;100,0;4.0;-33,3;33,3
Иркутская область;5.0;66,7;0.0;-100,0;7.0;75,0;стаб.
Кемеровская область - Кузбасс;2.0;-71,4;0.0;-100,0;2.0;-75,0;стаб.
Новосибирская область;3.0;50,0;0.0;-100,0;3.0;50,0;стаб.
Омская область;2.0;100,0;1.0;100,0;4.0;100,0;20,0
Томская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;17.0;54,5;1.0;-66,7;24.0;71,4;4,0
Республика Бурятия;1.0;-66,7;0.0;-100,0;3.0;-25,0;стаб.
Республика Саха (Якутия);1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Забайкальский край;3.0;100,0;0.0;-100,0;5.0;100,0;стаб.
Приморский край;4.0;100,0;0.0;-100,0;5.0;150,0;стаб.
Камчатский край;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Хабаровский край;3.0;50,0;1.0;стаб.;3.0;50,0;25,0
Амурская область;2.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 07 по 08 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;372.0;0,5;26.0;-21,2;471.0;1,9;5,2
Центральный федеральный округ;99.0;28,6;7.0;-12,5;115.0;38,6;5,7
Белгородская область;2.0;-33,3;0.0;-100,0;3.0;50,0;стаб.
Брянская область;3.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Владимирская область;4.0;стаб.;0.0;-100,0;7.0;16,7;стаб.
Воронежская область;8.0;стаб.;2.0;100,0;9.0;стаб.;18,2
Ивановская область;3.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Калужская область;6.0;200,0;0.0;-100,0;6.0;200,0;стаб.
Костромская область;5.0;25,0;0.0;-100,0;7.0;75,0;стаб.
Курская область;7.0;16,7;1.0;стаб.;9.0;80,0;10,0
Липецкая область;4.0;300,0;0.0;-100,0;4.0;300,0;стаб.
гор. Москва;19.0;стаб.;0.0;-100,0;20.0;5,3;стаб.
Московская область;13.0;85,7;3.0;200,0;12.0;100,0;20,0
Орловская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Рязанская область;2.0;-66,7;1.0;стаб.;3.0;-50,0;25,0
Смоленская область;1.0;-66,7;0.0;-100,0;1.0;-50,0;стаб.
Тамбовская область;5.0;25,0;0.0;-100,0;7.0;-22,2;стаб.
Тверская область;7.0;75,0;0.0;-100,0;10.0;66,7;стаб.
Тульская область;6.0;500,0;0.0;-100,0;6.0;500,0;стаб.
Ярославская область;4.0;300,0;0.0;-100,0;4.0;100,0;стаб.
Северо-Западный федеральный округ;31.0;стаб.;3.0;-50,0;42.0;27,3;6,7
Республика Карелия;3.0;200,0;1.0;100,0;6.0;500,0;14,3
Республика Коми;2.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Архангельская область;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Вологодская область;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Калининградская область;6.0;50,0;0.0;-100,0;7.0;стаб.;стаб.
Ленинградская область;3.0;-25,0;2.0;100,0;4.0;стаб.;33,3
гор. Санкт-Петербург;6.0;-45,5;0.0;-100,0;7.0;-36,4;стаб.
Мурманская область;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Новгородская область;3.0;-25,0;0.0;-100,0;3.0;-25,0;стаб.
Псковская область;4.0;100,0;0.0;-100,0;7.0;250,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;43.0;-6,5;5.0;66,7;64.0;12,3;7,2
Республика Адыгея (Адыгея);1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Калмыкия;1.0;стаб.;1.0;100,0;6.0;500,0;14,3
Республика Крым;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Краснодарский край;19.0;-5,0;1.0;стаб.;26.0;18,2;3,7
Астраханская область;4.0;100,0;0.0;-100,0;5.0;66,7;стаб.
Волгоградская область;4.0;-20,0;0.0;-100,0;5.0;-16,7;стаб.
Ростовская область;12.0;9,1;3.0;200,0;19.0;46,2;13,6
гор. Севастополь;2.0;100,0;0.0;-100,0;2.0;стаб.;стаб.
Северо-Кавказский федеральный округ;13.0;-18,8;0.0;-100,0;15.0;-25,0;стаб.
Республика Дагестан;2.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
