произошедшие по субботам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;27.0;стаб.;6.0;200,0;31.0;-24,4;16,2
Новосибирская область;28.0;-9,7;2.0;-60,0;38.0;-7,3;5,0
Омская область;22.0;-12,0;0.0;-100,0;27.0;-25,0;стаб.
Томская область;3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Дальневосточный федеральный округ;100.0;3,1;11.0;22,2;123.0;7,0;8,2
Республика Бурятия;12.0;50,0;2.0;100,0;14.0;55,6;12,5
Республика Саха (Якутия);6.0;-57,1;2.0;стаб.;4.0;-69,2;33,3
Забайкальский край;12.0;20,0;2.0;100,0;14.0;стаб.;12,5
Приморский край;24.0;-7,7;2.0;-50,0;29.0;-6,5;6,5
Камчатский край;5.0;400,0;0.0;-100,0;5.0;400,0;стаб.
Хабаровский край;23.0;76,9;1.0;100,0;35.0;150,0;2,8
Амурская область;11.0;-42,1;2.0;100,0;12.0;-57,1;14,3
Магаданская область;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Сахалинская область;3.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Еврейская автономная область;1.0;-50,0;0.0;-100,0;2.0;100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
