произошедшие по средам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;16.0;14,3;0.0;-100,0;26.0;85,7;стаб.
Новосибирская область;20.0;17,6;1.0;100,0;20.0;стаб.;4,8
Омская область;22.0;4,8;1.0;100,0;25.0;13,6;3,8
Томская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Дальневосточный федеральный округ;79.0;-1,3;7.0;-36,4;91.0;-7,1;7,1
Республика Бурятия;9.0;-25,0;1.0;-50,0;11.0;-35,3;8,3
Республика Саха (Якутия);10.0;100,0;1.0;100,0;12.0;100,0;7,7
Забайкальский край;9.0;-18,2;4.0;стаб.;9.0;-35,7;30,8
Приморский край;22.0;4,8;1.0;100,0;25.0;8,7;3,8
Камчатский край;5.0;400,0;0.0;-100,0;6.0;200,0;стаб.
Хабаровский край;9.0;-25,0;0.0;-100,0;10.0;-33,3;стаб.
Амурская область;10.0;-9,1;0.0;-100,0;13.0;-13,3;стаб.
Магаданская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Сахалинская область;3.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Еврейская автономная область;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
