произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;12.0;200,0;4.0;100,0;12.0;100,0;25,0
Новосибирская область;8.0;100,0;1.0;стаб.;11.0;266,7;8,3
Омская область;12.0;71,4;1.0;100,0;13.0;30,0;7,1
Томская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;36.0;-10,0;9.0;-25,0;40.0;-16,7;18,4
Республика Бурятия;4.0;стаб.;1.0;-50,0;4.0;100,0;20,0
Республика Саха (Якутия);5.0;25,0;1.0;стаб.;4.0;-33,3;20,0
Забайкальский край;5.0;-16,7;4.0;стаб.;3.0;-75,0;57,1
Приморский край;3.0;-75,0;1.0;стаб.;4.0;-71,4;20,0
Камчатский край;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Хабаровский край;9.0;125,0;1.0;-50,0;14.0;180,0;6,7
Амурская область;7.0;16,7;0.0;-100,0;9.0;80,0;стаб.
Магаданская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;2.0;100,0;1.0;100,0;1.0;стаб.;50,0
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 22 по 23 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;348.0;-3,9;50.0;4,2;423.0;-8,8;10,6
Центральный федеральный округ;84.0;-18,4;7.0;-46,2;99.0;-18,9;6,6
Белгородская область;2.0;стаб.;0.0;-100,0;2.0;-33,3;стаб.
Брянская область;2.0;-66,7;2.0;стаб.;2.0;-83,3;50,0
Владимирская область;3.0;-25,0;0.0;-100,0;3.0;стаб.;стаб.
Воронежская область;9.0;28,6;0.0;-100,0;11.0;83,3;стаб.
Ивановская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Калужская область;1.0;-50,0;0.0;-100,0;2.0;стаб.;стаб.
Костромская область;3.0;-25,0;0.0;-100,0;10.0;150,0;стаб.
Курская область;2.0;-50,0;0.0;-100,0;2.0;-66,7;стаб.
