произошедшие по четвергам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;22.0;57,1;4.0;300,0;28.0;33,3;12,5
Новосибирская область;27.0;107,7;4.0;100,0;27.0;80,0;12,9
Омская область;17.0;-29,2;0.0;-100,0;22.0;-38,9;стаб.
Томская область;3.0;стаб.;0.0;-100,0;4.0;33,3;стаб.
Дальневосточный федеральный округ;82.0;7,9;10.0;стаб.;114.0;29,5;8,1
Республика Бурятия;14.0;-6,7;3.0;-25,0;15.0;-16,7;16,7
Республика Саха (Якутия);6.0;-14,3;1.0;стаб.;14.0;133,3;6,7
Забайкальский край;7.0;стаб.;3.0;100,0;11.0;22,2;21,4
Приморский край;25.0;13,6;2.0;стаб.;33.0;43,5;5,7
Камчатский край;2.0;-33,3;0.0;-100,0;2.0;-66,7;стаб.
Хабаровский край;9.0;-18,2;0.0;-100,0;10.0;-16,7;стаб.
Амурская область;11.0;57,1;0.0;-100,0;14.0;55,6;стаб.
Магаданская область;3.0;200,0;0.0;-100,0;9.0;800,0;стаб.
Сахалинская область;2.0;стаб.;1.0;100,0;1.0;-50,0;50,0
Еврейская автономная область;2.0;100,0;0.0;-100,0;2.0;стаб.;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
