произошедшие с 18 по 19 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;620.0;1,8;51.0;30,8;740.0;-1,7;6,4
Центральный федеральный округ;178.0;26,2;14.0;стаб.;205.0;39,5;6,4
Белгородская область;7.0;75,0;2.0;100,0;8.0;166,7;20,0
Брянская область;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Владимирская область;13.0;62,5;0.0;-100,0;13.0;85,7;стаб.
Воронежская область;13.0;30,0;3.0;200,0;19.0;90,0;13,6
Ивановская область;5.0;66,7;0.0;-100,0;6.0;100,0;стаб.
Калужская область;4.0;стаб.;0.0;-100,0;4.0;стаб.;стаб.
Костромская область;4.0;33,3;0.0;-100,0;4.0;33,3;стаб.
Курская область;6.0;200,0;0.0;-100,0;10.0;400,0;стаб.
Липецкая область;5.0;-44,4;2.0;100,0;7.0;-22,2;22,2
гор. Москва;58.0;23,4;1.0;стаб.;59.0;20,4;1,7
Московская область;20.0;-4,8;4.0;-50,0;23.0;-8,0;14,8
Орловская область;3.0;50,0;0.0;-100,0;4.0;100,0;стаб.
Рязанская область;11.0;266,7;0.0;-100,0;15.0;400,0;стаб.
Смоленская область;5.0;стаб.;0.0;-100,0;7.0;40,0;стаб.
Тамбовская область;3.0;стаб.;1.0;100,0;2.0;-60,0;33,3
Тверская область;4.0;-42,9;0.0;-100,0;6.0;-14,3;стаб.
Тульская область;10.0;42,9;1.0;100,0;10.0;25,0;9,1
Ярославская область;6.0;200,0;0.0;-100,0;6.0;500,0;стаб.
Северо-Западный федеральный округ;57.0;16,3;5.0;66,7;61.0;-7,6;7,6
Республика Карелия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Коми;5.0;25,0;0.0;-100,0;6.0;20,0;стаб.
Архангельская область;1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Вологодская область;7.0;16,7;1.0;100,0;6.0;-14,3;14,3
Калининградская область;9.0;800,0;2.0;100,0;8.0;700,0;20,0
Ленинградская область;2.0;-60,0;0.0;-100,0;2.0;-80,0;стаб.
гор. Санкт-Петербург;23.0;15,0;2.0;100,0;24.0;20,0;7,7
Мурманская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Новгородская область;6.0;20,0;0.0;-100,0;10.0;-16,7;стаб.
Псковская область;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;80.0;23,1;6.0;стаб.;102.0;21,4;5,6
