со стажем управления до 2 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;11.0;175,0;0.0;-100,0;15.0;275,0;стаб.
Новосибирская область;5.0;-44,4;0.0;-100,0;6.0;-45,5;стаб.
Омская область;5.0;-44,4;1.0;стаб.;4.0;-73,3;20,0
Томская область;2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Дальневосточный федеральный округ;46.0;9,5;5.0;400,0;86.0;48,3;5,5
Республика Бурятия;9.0;200,0;0.0;-100,0;13.0;333,3;стаб.
Республика Саха (Якутия);4.0;-33,3;1.0;стаб.;12.0;71,4;7,7
Забайкальский край;3.0;200,0;1.0;100,0;6.0;200,0;14,3
Приморский край;14.0;7,7;1.0;100,0;35.0;94,4;2,8
Камчатский край;2.0;стаб.;0.0;-100,0;2.0;-33,3;стаб.
Хабаровский край;10.0;25,0;2.0;100,0;14.0;40,0;12,5
Амурская область;2.0;-50,0;0.0;-100,0;2.0;-71,4;стаб.
Магаданская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Сахалинская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
