произошедшие с 15 по 16 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;14.0;40,0;5.0;400,0;16.0;33,3;23,8
Новосибирская область;12.0;300,0;1.0;100,0;18.0;500,0;5,3
Омская область;7.0;-30,0;0.0;-100,0;7.0;-61,1;стаб.
Томская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Дальневосточный федеральный округ;40.0;-2,4;3.0;-25,0;50.0;8,7;5,7
Республика Бурятия;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Саха (Якутия);5.0;66,7;1.0;100,0;4.0;33,3;20,0
Забайкальский край;5.0;стаб.;0.0;-100,0;8.0;33,3;стаб.
Приморский край;12.0;-25,0;0.0;-100,0;18.0;12,5;стаб.
Камчатский край;1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Хабаровский край;6.0;-25,0;1.0;стаб.;8.0;стаб.;11,1
Амурская область;5.0;66,7;1.0;100,0;4.0;33,3;20,0
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
Еврейская автономная область;1.0;-66,7;0.0;-100,0;1.0;-83,3;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 16 по 17 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;660.0;2,6;60.0;15,4;806.0;6,8;6,9
Центральный федеральный округ;196.0;15,3;13.0;-23,5;237.0;22,8;5,2
Белгородская область;6.0;-40,0;1.0;100,0;5.0;-61,5;16,7
Брянская область;2.0;-50,0;0.0;-100,0;2.0;-66,7;стаб.
Владимирская область;11.0;-8,3;0.0;-100,0;11.0;-15,4;стаб.
Воронежская область;13.0;30,0;5.0;66,7;10.0;стаб.;33,3
Ивановская область;5.0;100,0;0.0;-100,0;5.0;100,0;стаб.
Калужская область;4.0;-33,3;0.0;-100,0;5.0;-16,7;стаб.
Костромская область;5.0;-37,5;0.0;-100,0;5.0;-37,5;стаб.
Курская область;11.0;37,5;0.0;-100,0;15.0;50,0;стаб.
Липецкая область;7.0;40,0;0.0;-100,0;7.0;-12,5;стаб.
гор. Москва;59.0;7,3;0.0;-100,0;65.0;14,0;стаб.
Московская область;24.0;118,2;2.0;стаб.;38.0;192,3;5,0
Орловская область;5.0;25,0;1.0;100,0;9.0;80,0;10,0
Рязанская область;4.0;-33,3;0.0;-100,0;5.0;стаб.;стаб.
Смоленская область;7.0;75,0;0.0;-100,0;11.0;175,0;стаб.
Тамбовская область;7.0;40,0;3.0;200,0;8.0;100,0;27,3
Тверская область;9.0;80,0;0.0;-100,0;13.0;62,5;стаб.
Тульская область;11.0;10,0;1.0;стаб.;13.0;-13,3;7,1
Ярославская область;6.0;-14,3;0.0;-100,0;10.0;25,0;стаб.
Северо-Западный федеральный округ;61.0;-3,2;6.0;100,0;72.0;стаб.;7,7
Республика Карелия;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Республика Коми;4.0;стаб.;0.0;-100,0;4.0;33,3;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;8.0;166,7;5.0;400,0;7.0;133,3;41,7
Калининградская область;4.0;-42,9;0.0;-100,0;4.0;-50,0;стаб.
Ленинградская область;8.0;-33,3;1.0;стаб.;9.0;-43,8;10,0
гор. Санкт-Петербург;26.0;13,0;0.0;-100,0;35.0;34,6;стаб.
Мурманская область;4.0;33,3;0.0;-100,0;5.0;66,7;стаб.
Новгородская область;3.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Псковская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;71.0;стаб.;4.0;-33,3;96.0;20,0;4,0
Республика Адыгея (Адыгея);1.0;стаб.;0.0;-100,0;4.0;300,0;стаб.
Республика Калмыкия;4.0;100,0;0.0;-100,0;6.0;200,0;стаб.
Республика Крым;4.0;-42,9;0.0;-100,0;8.0;14,3;стаб.
Краснодарский край;35.0;16,7;3.0;50,0;43.0;26,5;6,5
Астраханская область;4.0;-20,0;0.0;-100,0;5.0;-16,7;стаб.
Волгоградская область;11.0;-8,3;0.0;-100,0;16.0;14,3;стаб.
Ростовская область;7.0;-36,4;1.0;стаб.;8.0;-38,5;11,1
гор. Севастополь;5.0;66,7;0.0;-100,0;6.0;100,0;стаб.
Северо-Кавказский федеральный округ;37.0;2,8;11.0;175,0;47.0;-4,1;19,0
Республика Дагестан;6.0;-50,0;4.0;100,0;15.0;-6,3;21,1
Республика Ингушетия;1.0;-50,0;3.0;100,0;1.0;-80,0;75,0
Кабардино-Балкарская Республика;3.0;50,0;0.0;-100,0;3.0;200,0;стаб.
Карачаево-Черкесская Республика;1.0;-75,0;1.0;100,0;1.0;-83,3;50,0
Республика Северная Осетия-Алания;6.0;20,0;0.0;-100,0;7.0;-12,5;стаб.
Чеченская Республика;2.0;100,0;2.0;100,0;2.0;100,0;50,0
Ставропольский край;18.0;80,0;1.0;-50,0;18.0;38,5;5,3
Приволжский федеральный округ;113.0;-26,1;15.0;36,4;127.0;-29,1;10,6
Республика Башкортостан;17.0;-5,6;5.0;100,0;21.0;-4,5;19,2
Республика Марий Эл;5.0;стаб.;1.0;стаб.;4.0;-20,0;20,0
Республика Мордовия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);15.0;-25,0;0.0;-100,0;15.0;-37,5;стаб.
Удмуртская Республика;7.0;стаб.;2.0;100,0;7.0;-12,5;22,2
Чувашская Республика - Чувашия;4.0;100,0;0.0;-100,0;5.0;150,0;стаб.
Пермский край;3.0;-57,1;0.0;-100,0;4.0;-42,9;стаб.
Кировская область;5.0;-64,3;1.0;100,0;4.0;-75,0;20,0
Нижегородская область;23.0;-11,5;2.0;100,0;24.0;-29,4;7,7
Оренбургская область;8.0;33,3;0.0;-100,0;11.0;37,5;стаб.
Пензенская область;4.0;-42,9;0.0;-100,0;4.0;-42,9;стаб.
Самарская область;10.0;-47,4;4.0;стаб.;10.0;-52,4;28,6
Саратовская область;11.0;-8,3;0.0;-100,0;17.0;21,4;стаб.
Ульяновская область;1.0;-85,7;0.0;-100,0;1.0;-85,7;стаб.
Уральский федеральный округ;65.0;14,0;4.0;-33,3;81.0;9,5;4,7
Курганская область;4.0;33,3;1.0;стаб.;3.0;-25,0;25,0
Свердловская область;18.0;28,6;1.0;100,0;21.0;31,3;4,5
Тюменская область;19.0;46,2;0.0;-100,0;26.0;62,5;стаб.
Челябинская область;20.0;11,1;1.0;-80,0;25.0;4,2;3,8
Ханты-Мансийский автономный округ - Югра;4.0;-50,0;1.0;100,0;6.0;-53,8;14,3
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;66.0;10,0;1.0;-75,0;79.0;14,5;1,3
Республика Алтай;1.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
Республика Тыва;1.0;-50,0;0.0;-100,0;1.0;стаб.;стаб.
Республика Хакасия;2.0;стаб.;0.0;-100,0;4.0;стаб.;стаб.
Алтайский край;13.0;225,0;0.0;-100,0;15.0;275,0;стаб.
Красноярский край;13.0;44,4;0.0;-100,0;14.0;40,0;стаб.
Иркутская область;8.0;-42,9;0.0;-100,0;10.0;-44,4;стаб.
Кемеровская область - Кузбасс;13.0;116,7;1.0;100,0;14.0;133,3;6,7
Новосибирская область;7.0;стаб.;0.0;-100,0;10.0;42,9;стаб.
Омская область;7.0;-46,2;0.0;-100,0;8.0;-38,5;стаб.
Томская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Дальневосточный федеральный округ;51.0;54,5;6.0;500,0;67.0;71,8;8,2
Республика Бурятия;9.0;200,0;2.0;100,0;11.0;266,7;15,4
Республика Саха (Якутия);4.0;-20,0;0.0;-100,0;4.0;-20,0;стаб.
Забайкальский край;3.0;-57,1;0.0;-100,0;3.0;-62,5;стаб.
Приморский край;20.0;185,7;1.0;100,0;33.0;200,0;2,9
Камчатский край;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Хабаровский край;9.0;12,5;2.0;100,0;9.0;стаб.;18,2
Амурская область;1.0;-50,0;1.0;100,0;2.0;стаб.;33,3
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 17 по 18 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;711.0;10,1;41.0;-6,8;842.0;4,6;4,6
Центральный федеральный округ;192.0;27,2;7.0;стаб.;248.0;39,3;2,7
