со стажем управления от 2 до 5 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;694.0;-10,3;62.0;-7,5;928.0;-12,5;6,3
Центральный федеральный округ;188.0;-4,6;12.0;-33,3;237.0;-6,7;4,8
Белгородская область;8.0;100,0;1.0;100,0;10.0;42,9;9,1
Брянская область;5.0;150,0;2.0;100,0;8.0;300,0;20,0
Владимирская область;7.0;-36,4;0.0;-100,0;7.0;-58,8;стаб.
Воронежская область;13.0;8,3;3.0;200,0;18.0;стаб.;14,3
Ивановская область;6.0;-14,3;0.0;-100,0;6.0;-45,5;стаб.
Калужская область;2.0;-50,0;0.0;-100,0;3.0;-25,0;стаб.
Костромская область;8.0;100,0;0.0;-100,0;10.0;233,3;стаб.
Курская область;5.0;-44,4;0.0;-100,0;8.0;-33,3;стаб.
Липецкая область;5.0;-61,5;0.0;-100,0;6.0;-62,5;стаб.
гор. Москва;67.0;-19,3;2.0;стаб.;82.0;-19,6;2,4
Московская область;13.0;-35,0;2.0;-33,3;16.0;-46,7;11,1
Орловская область;1.0;-50,0;0.0;-100,0;3.0;200,0;стаб.
Рязанская область;5.0;66,7;0.0;-100,0;6.0;50,0;стаб.
Смоленская область;4.0;300,0;0.0;-100,0;5.0;150,0;стаб.
Тамбовская область;11.0;120,0;0.0;-100,0;12.0;100,0;стаб.
Тверская область;12.0;300,0;1.0;100,0;16.0;433,3;5,9
Тульская область;6.0;-33,3;0.0;-100,0;9.0;12,5;стаб.
Ярославская область;10.0;100,0;1.0;-50,0;12.0;50,0;7,7
Северо-Западный федеральный округ;76.0;11,8;4.0;100,0;90.0;15,4;4,3
Республика Карелия;3.0;-57,1;0.0;-100,0;4.0;-33,3;стаб.
Республика Коми;3.0;-66,7;0.0;-100,0;3.0;-76,9;стаб.
Архангельская область;2.0;стаб.;0.0;-100,0;2.0;-33,3;стаб.
Вологодская область;7.0;16,7;0.0;-100,0;12.0;100,0;стаб.
Калининградская область;10.0;150,0;0.0;-100,0;12.0;140,0;стаб.
Ленинградская область;7.0;-36,4;2.0;100,0;10.0;-16,7;16,7
гор. Санкт-Петербург;30.0;7,1;1.0;100,0;32.0;стаб.;3,0
Мурманская область;4.0;300,0;0.0;-100,0;6.0;500,0;стаб.
Новгородская область;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Псковская область;5.0;100,0;1.0;100,0;4.0;100,0;20,0
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Южный федеральный округ;78.0;-19,6;10.0;42,9;114.0;-19,1;8,1
Республика Адыгея (Адыгея);1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Республика Калмыкия;5.0;25,0;1.0;-80,0;13.0;116,7;7,1
Республика Крым;3.0;-62,5;1.0;стаб.;4.0;-80,0;20,0
Краснодарский край;37.0;-14,0;6.0;500,0;47.0;-20,3;11,3
Астраханская область;8.0;стаб.;0.0;-100,0;9.0;-18,2;стаб.
Волгоградская область;9.0;-50,0;1.0;100,0;17.0;-32,0;5,6
Ростовская область;13.0;85,7;1.0;100,0;19.0;111,1;5,0
гор. Севастополь;2.0;-66,7;0.0;-100,0;4.0;-42,9;стаб.
Северо-Кавказский федеральный округ;61.0;22,0;12.0;50,0;86.0;4,9;12,2
Республика Дагестан;22.0;46,7;3.0;-25,0;35.0;6,1;7,9
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;9.0;125,0;1.0;100,0;13.0;85,7;7,1
Карачаево-Черкесская Республика;3.0;50,0;1.0;100,0;5.0;25,0;16,7
Республика Северная Осетия-Алания;4.0;33,3;0.0;-100,0;5.0;66,7;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;23.0;-4,2;7.0;250,0;28.0;-15,2;20,0
Приволжский федеральный округ;127.0;-20,6;10.0;100,0;179.0;-23,5;5,3
Республика Башкортостан;16.0;-33,3;1.0;100,0;15.0;-53,1;6,3
Республика Марий Эл;1.0;100,0;0.0;-100,0;5.0;100,0;стаб.
Республика Мордовия;3.0;-50,0;1.0;100,0;3.0;-50,0;25,0
Республика Татарстан (Татарстан);21.0;-30,0;1.0;-50,0;27.0;-25,0;3,6
Удмуртская Республика;6.0;50,0;0.0;-100,0;6.0;50,0;стаб.
Чувашская Республика - Чувашия;5.0;25,0;1.0;-50,0;7.0;40,0;12,5
Пермский край;4.0;100,0;1.0;100,0;4.0;33,3;20,0
Кировская область;8.0;-27,3;0.0;-100,0;10.0;-37,5;стаб.
Нижегородская область;18.0;-43,8;0.0;-100,0;23.0;-54,9;стаб.
Оренбургская область;8.0;14,3;0.0;-100,0;13.0;-7,1;стаб.
Пензенская область;9.0;28,6;1.0;100,0;11.0;-35,3;8,3
Самарская область;11.0;-21,4;2.0;100,0;38.0;100,0;5,0
Саратовская область;11.0;-8,3;0.0;-100,0;12.0;-47,8;стаб.
Ульяновская область;6.0;-14,3;2.0;100,0;5.0;-37,5;28,6
Уральский федеральный округ;60.0;-23,1;4.0;-71,4;95.0;-5,0;4,0
Курганская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Свердловская область;20.0;-20,0;3.0;-66,7;27.0;-27,0;10,0
Тюменская область;11.0;-47,6;0.0;-100,0;21.0;-16,0;стаб.
Челябинская область;21.0;-27,6;1.0;-80,0;34.0;стаб.;2,9
Ханты-Мансийский автономный округ - Югра;6.0;200,0;0.0;-100,0;11.0;266,7;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;69.0;-20,7;8.0;-27,3;80.0;-32,2;9,1
Республика Алтай;4.0;33,3;0.0;-100,0;4.0;33,3;стаб.
Республика Тыва;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Хакасия;1.0;-75,0;0.0;-100,0;1.0;-75,0;стаб.
Алтайский край;4.0;-55,6;0.0;-100,0;5.0;-54,5;стаб.
Красноярский край;17.0;21,4;3.0;-25,0;17.0;стаб.;15,0
Иркутская область;10.0;-28,6;1.0;100,0;12.0;-36,8;7,7
Кемеровская область - Кузбасс;13.0;-18,8;3.0;50,0;13.0;-40,9;18,8
Новосибирская область;4.0;-69,2;1.0;-66,7;6.0;-68,4;14,3
Омская область;15.0;25,0;0.0;-100,0;21.0;стаб.;стаб.
Томская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Дальневосточный федеральный округ;35.0;-2,8;2.0;стаб.;47.0;-9,6;4,1
Республика Бурятия;6.0;100,0;0.0;-100,0;13.0;225,0;стаб.
Республика Саха (Якутия);3.0;стаб.;0.0;-100,0;3.0;-25,0;стаб.
Забайкальский край;3.0;50,0;0.0;-100,0;3.0;50,0;стаб.
Приморский край;10.0;11,1;2.0;100,0;12.0;-20,0;14,3
Камчатский край;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Хабаровский край;10.0;66,7;0.0;-100,0;13.0;44,4;стаб.
Амурская область;1.0;-85,7;0.0;-100,0;1.0;-88,9;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
