со стажем управления от 20 до 25 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;20.0;17,6;1.0;100,0;23.0;4,5;4,2
Новосибирская область;13.0;-13,3;1.0;-80,0;17.0;-26,1;5,6
Омская область;12.0;9,1;1.0;стаб.;17.0;13,3;5,6
Томская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Дальневосточный федеральный округ;40.0;-11,1;5.0;400,0;51.0;-1,9;8,9
Республика Бурятия;2.0;-33,3;0.0;-100,0;4.0;33,3;стаб.
Республика Саха (Якутия);5.0;-44,4;0.0;-100,0;6.0;-45,5;стаб.
Забайкальский край;5.0;-16,7;1.0;100,0;6.0;-14,3;14,3
Приморский край;12.0;-25,0;1.0;стаб.;14.0;-22,2;6,7
Камчатский край;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Хабаровский край;6.0;стаб.;3.0;100,0;6.0;стаб.;33,3
Амурская область;5.0;66,7;0.0;-100,0;6.0;20,0;стаб.
Магаданская область;1.0;стаб.;0.0;-100,0;5.0;400,0;стаб.
Сахалинская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Еврейская автономная область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
со стажем управления от 25 до 30 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;686.0;14,9;78.0;32,2;839.0;6,2;8,5
Центральный федеральный округ;181.0;32,1;18.0;38,5;226.0;32,2;7,4
Белгородская область;5.0;66,7;1.0;100,0;7.0;40,0;12,5
Брянская область;3.0;-40,0;0.0;-100,0;3.0;-50,0;стаб.
Владимирская область;10.0;11,1;1.0;стаб.;14.0;27,3;6,7
Воронежская область;12.0;50,0;0.0;-100,0;16.0;14,3;стаб.
Ивановская область;5.0;150,0;0.0;-100,0;7.0;250,0;стаб.
Калужская область;5.0;66,7;0.0;-100,0;7.0;133,3;стаб.
Костромская область;2.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
Курская область;9.0;50,0;1.0;100,0;11.0;22,2;8,3
Липецкая область;11.0;450,0;0.0;-100,0;16.0;433,3;стаб.
гор. Москва;46.0;12,2;0.0;-100,0;52.0;26,8;стаб.
Московская область;27.0;35,0;3.0;-25,0;25.0;-13,8;10,7
Орловская область;1.0;-50,0;0.0;-100,0;2.0;стаб.;стаб.
Рязанская область;8.0;166,7;8.0;100,0;15.0;400,0;34,8
