произошедшие с 03 по 04 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;76.0;-19,1;23.0;15,0;96.0;-22,0;19,3
Центральный федеральный округ;14.0;-22,2;6.0;стаб.;10.0;-66,7;37,5
Белгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Брянская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Владимирская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Воронежская область;3.0;200,0;2.0;100,0;2.0;-50,0;50,0
Ивановская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Калужская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Костромская область;2.0;100,0;1.0;100,0;2.0;100,0;33,3
Курская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Липецкая область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
гор. Москва;3.0;-57,1;0.0;-100,0;3.0;-62,5;стаб.
Московская область;3.0;200,0;2.0;100,0;1.0;стаб.;66,7
Орловская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Рязанская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Смоленская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тамбовская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тверская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тульская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ярославская область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Северо-Западный федеральный округ;3.0;-62,5;0.0;-100,0;5.0;-37,5;стаб.
Республика Карелия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Коми;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Калининградская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ленинградская область;1.0;стаб.;0.0;-100,0;3.0;100,0;стаб.
гор. Санкт-Петербург;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Псковская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;10.0;25,0;2.0;стаб.;20.0;185,7;9,1
Республика Адыгея (Адыгея);0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Калмыкия;1.0;100,0;1.0;100,0;4.0;100,0;20,0
Республика Крым;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Краснодарский край;4.0;стаб.;0.0;-100,0;8.0;100,0;стаб.
Астраханская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Волгоградская область;2.0;100,0;1.0;100,0;5.0;400,0;16,7
Ростовская область;2.0;-33,3;0.0;-100,0;2.0;стаб.;стаб.
гор. Севастополь;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Северо-Кавказский федеральный округ;4.0;-20,0;1.0;стаб.;5.0;-28,6;16,7
Республика Дагестан;1.0;-66,7;1.0;100,0;2.0;-66,7;33,3
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;2.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Приволжский федеральный округ;19.0;-17,4;9.0;80,0;24.0;-14,3;27,3
Республика Башкортостан;6.0;стаб.;3.0;стаб.;4.0;-33,3;42,9
Республика Марий Эл;1.0;100,0;1.0;100,0;2.0;100,0;33,3
Республика Мордовия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Удмуртская Республика;3.0;100,0;1.0;100,0;10.0;100,0;9,1
Чувашская Республика - Чувашия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Пермский край;1.0;-66,7;1.0;100,0;0.0;-100,0;стаб.
Кировская область;1.0;-50,0;0.0;-100,0;2.0;стаб.;стаб.
Нижегородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Оренбургская область;1.0;стаб.;0.0;-100,0;1.0;-75,0;стаб.
Пензенская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Самарская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Саратовская область;2.0;-33,3;2.0;100,0;2.0;-33,3;50,0
Ульяновская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Уральский федеральный округ;5.0;-37,5;1.0;стаб.;6.0;-40,0;14,3
Курганская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Свердловская область;1.0;-66,7;1.0;100,0;0.0;-100,0;стаб.
Тюменская область;3.0;50,0;0.0;-100,0;4.0;100,0;стаб.
Челябинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ханты-Мансийский автономный округ - Югра;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;13.0;-23,5;3.0;50,0;13.0;-38,1;18,8
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Хакасия;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Алтайский край;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Красноярский край;3.0;50,0;0.0;-100,0;4.0;33,3;стаб.
Иркутская область;2.0;-60,0;0.0;-100,0;2.0;-75,0;стаб.
Кемеровская область - Кузбасс;2.0;-60,0;2.0;стаб.;1.0;-80,0;66,7
Новосибирская область;4.0;300,0;1.0;100,0;4.0;300,0;20,0
Омская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Томская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;8.0;14,3;1.0;стаб.;13.0;8,3;7,1
Республика Бурятия;3.0;200,0;0.0;-100,0;5.0;150,0;стаб.
Республика Саха (Якутия);1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Забайкальский край;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Приморский край;2.0;стаб.;1.0;100,0;5.0;25,0;16,7
Камчатский край;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Хабаровский край;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Амурская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 04 по 05 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;103.0;8,4;25.0;13,6;144.0;3,6;14,8
Центральный федеральный округ;28.0;16,7;5.0;150,0;51.0;30,8;8,9
Белгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Брянская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Владимирская область;1.0;-75,0;0.0;-100,0;1.0;-88,9;стаб.
Воронежская область;6.0;50,0;0.0;-100,0;11.0;83,3;стаб.
Ивановская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Калужская область;1.0;-50,0;0.0;-100,0;2.0;-50,0;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;1.0;-50,0;0.0;-100,0;3.0;50,0;стаб.
Липецкая область;3.0;стаб.;1.0;100,0;3.0;стаб.;25,0
гор. Москва;5.0;66,7;0.0;-100,0;5.0;66,7;стаб.
Московская область;1.0;стаб.;0.0;-100,0;1.0;-66,7;стаб.
Орловская область;2.0;100,0;0.0;-100,0;4.0;300,0;стаб.
Рязанская область;3.0;200,0;3.0;100,0;14.0;133,3;17,6
Смоленская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тамбовская область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Тверская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тульская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ярославская область;1.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Северо-Западный федеральный округ;3.0;-40,0;1.0;100,0;2.0;-66,7;33,3
Республика Карелия;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Коми;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Калининградская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ленинградская область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
гор. Санкт-Петербург;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Псковская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;14.0;27,3;7.0;133,3;13.0;-13,3;35,0
Республика Адыгея (Адыгея);3.0;100,0;4.0;100,0;2.0;100,0;66,7
Республика Калмыкия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Крым;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Краснодарский край;6.0;50,0;1.0;стаб.;8.0;33,3;11,1
Астраханская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
