со стажем управления от 10 до 15 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1060.0;-11,5;111.0;0,9;1322.0;-13,4;7,7
Центральный федеральный округ;249.0;-21,7;22.0;-4,3;312.0;-20,8;6,6
Белгородская область;12.0;-7,7;3.0;50,0;15.0;15,4;16,7
Брянская область;4.0;-33,3;1.0;-50,0;3.0;-40,0;25,0
Владимирская область;10.0;-50,0;0.0;-100,0;14.0;-50,0;стаб.
Воронежская область;23.0;4,5;5.0;150,0;26.0;-10,3;16,1
Ивановская область;6.0;20,0;0.0;-100,0;7.0;40,0;стаб.
Калужская область;9.0;-10,0;0.0;-100,0;15.0;36,4;стаб.
Костромская область;8.0;14,3;0.0;-100,0;17.0;70,0;стаб.
Курская область;13.0;85,7;2.0;стаб.;23.0;43,8;8,0
Липецкая область;6.0;-62,5;1.0;стаб.;7.0;-75,0;12,5
гор. Москва;66.0;-31,3;0.0;-100,0;78.0;-23,5;стаб.
Московская область;28.0;-17,6;3.0;50,0;29.0;-34,1;9,4
Орловская область;6.0;-25,0;0.0;-100,0;10.0;11,1;стаб.
Рязанская область;11.0;-45,0;1.0;стаб.;15.0;-28,6;6,3
Смоленская область;8.0;-33,3;1.0;стаб.;9.0;-47,1;10,0
Тамбовская область;8.0;стаб.;1.0;100,0;10.0;-16,7;9,1
Тверская область;12.0;33,3;0.0;-100,0;13.0;18,2;стаб.
Тульская область;10.0;-41,2;3.0;200,0;11.0;-56,0;21,4
Ярославская область;9.0;12,5;1.0;стаб.;10.0;25,0;9,1
Северо-Западный федеральный округ;109.0;-0,9;11.0;37,5;133.0;0,8;7,6
Республика Карелия;6.0;50,0;1.0;100,0;6.0;50,0;14,3
Республика Коми;2.0;-33,3;0.0;-100,0;5.0;66,7;стаб.
Архангельская область;4.0;стаб.;0.0;-100,0;4.0;стаб.;стаб.
Вологодская область;9.0;-40,0;2.0;стаб.;10.0;-37,5;16,7
