произошедшие по вторникам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Новосибирская область;17.0;-22,7;0.0;-100,0;21.0;-4,5;стаб.
Омская область;26.0;52,9;1.0;100,0;29.0;стаб.;3,3
Томская область;3.0;50,0;1.0;100,0;2.0;-33,3;33,3
Дальневосточный федеральный округ;117.0;51,9;10.0;-44,4;133.0;41,5;7,0
Республика Бурятия;16.0;700,0;0.0;-100,0;22.0;1000,0;стаб.
Республика Саха (Якутия);10.0;25,0;0.0;-100,0;10.0;-9,1;стаб.
Забайкальский край;16.0;45,5;2.0;-60,0;17.0;70,0;10,5
Приморский край;32.0;100,0;2.0;-33,3;34.0;61,9;5,6
Камчатский край;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Хабаровский край;19.0;18,8;4.0;стаб.;21.0;23,5;16,0
Амурская область;15.0;стаб.;1.0;стаб.;19.0;-13,6;5,0
Магаданская область;2.0;-50,0;0.0;-100,0;2.0;-50,0;стаб.
Сахалинская область;2.0;-33,3;0.0;-100,0;2.0;100,0;стаб.
Еврейская автономная область;4.0;300,0;1.0;100,0;4.0;стаб.;20,0
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
