произошедшие с 12 по 13 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;516.0;-2,6;32.0;-31,9;610.0;-1,3;5,0
Центральный федеральный округ;161.0;22,9;13.0;30,0;193.0;25,3;6,3
Белгородская область;9.0;50,0;1.0;100,0;13.0;62,5;7,1
Брянская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Владимирская область;7.0;стаб.;0.0;-100,0;11.0;10,0;стаб.
Воронежская область;13.0;62,5;1.0;100,0;15.0;50,0;6,3
Ивановская область;5.0;25,0;0.0;-100,0;5.0;-16,7;стаб.
Калужская область;3.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Костромская область;5.0;стаб.;0.0;-100,0;8.0;14,3;стаб.
Курская область;8.0;100,0;2.0;100,0;10.0;150,0;16,7
Липецкая область;5.0;-44,4;2.0;100,0;7.0;-22,2;22,2
гор. Москва;51.0;45,7;0.0;-100,0;57.0;58,3;стаб.
Московская область;19.0;35,7;4.0;33,3;18.0;12,5;18,2
Орловская область;4.0;стаб.;0.0;-100,0;5.0;стаб.;стаб.
Рязанская область;2.0;-77,8;0.0;-100,0;2.0;-81,8;стаб.
Смоленская область;2.0;-66,7;0.0;-100,0;2.0;-75,0;стаб.
Тамбовская область;2.0;-77,8;0.0;-100,0;4.0;-50,0;стаб.
Тверская область;10.0;150,0;3.0;100,0;12.0;100,0;20,0
Тульская область;11.0;266,7;0.0;-100,0;13.0;333,3;стаб.
Ярославская область;5.0;66,7;0.0;-100,0;7.0;40,0;стаб.
Северо-Западный федеральный округ;38.0;-20,8;2.0;-33,3;40.0;-21,6;4,8
Республика Карелия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Коми;1.0;-80,0;0.0;-100,0;1.0;-83,3;стаб.
Архангельская область;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Вологодская область;5.0;25,0;1.0;100,0;5.0;25,0;16,7
Калининградская область;4.0;-42,9;0.0;-100,0;4.0;-20,0;стаб.
Ленинградская область;6.0;20,0;1.0;стаб.;7.0;40,0;12,5
гор. Санкт-Петербург;14.0;-22,2;0.0;-100,0;14.0;-26,3;стаб.
Мурманская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Новгородская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Псковская область;3.0;50,0;0.0;-100,0;4.0;-20,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;71.0;6,0;4.0;-20,0;90.0;9,8;4,3
Республика Адыгея (Адыгея);2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Калмыкия;2.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Республика Крым;5.0;-28,6;0.0;-100,0;12.0;71,4;стаб.
Краснодарский край;30.0;15,4;1.0;-66,7;34.0;17,2;2,9
Астраханская область;5.0;25,0;1.0;100,0;7.0;40,0;12,5
Волгоградская область;10.0;-50,0;1.0;100,0;13.0;-56,7;7,1
Ростовская область;11.0;37,5;1.0;стаб.;12.0;33,3;7,7
гор. Севастополь;6.0;500,0;0.0;-100,0;6.0;500,0;стаб.
Северо-Кавказский федеральный округ;22.0;-21,4;0.0;-100,0;33.0;-23,3;стаб.
Республика Дагестан;6.0;-25,0;0.0;-100,0;12.0;-7,7;стаб.
Республика Ингушетия;1.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Кабардино-Балкарская Республика;3.0;50,0;0.0;-100,0;5.0;150,0;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;2.0;-60,0;0.0;-100,0;2.0;-77,8;стаб.
Чеченская Республика;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ставропольский край;9.0;-30,8;0.0;-100,0;9.0;-52,6;стаб.
Приволжский федеральный округ;96.0;-15,8;4.0;-60,0;113.0;-11,7;3,4
Республика Башкортостан;5.0;-76,2;0.0;-100,0;6.0;-72,7;стаб.
Республика Марий Эл;2.0;-50,0;0.0;-100,0;3.0;-57,1;стаб.
Республика Мордовия;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
Республика Татарстан (Татарстан);6.0;-64,7;0.0;-100,0;6.0;-64,7;стаб.
Удмуртская Республика;6.0;50,0;0.0;-100,0;6.0;20,0;стаб.
Чувашская Республика - Чувашия;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Пермский край;4.0;стаб.;0.0;-100,0;4.0;-20,0;стаб.
Кировская область;5.0;стаб.;0.0;-100,0;5.0;-28,6;стаб.
Нижегородская область;20.0;-13,0;2.0;100,0;22.0;-4,3;8,3
Оренбургская область;5.0;150,0;0.0;-100,0;7.0;600,0;стаб.
Пензенская область;9.0;50,0;0.0;-100,0;9.0;12,5;стаб.
Самарская область;9.0;стаб.;0.0;-100,0;12.0;20,0;стаб.
Саратовская область;15.0;15,4;2.0;стаб.;21.0;31,3;8,7
Ульяновская область;4.0;стаб.;0.0;-100,0;5.0;стаб.;стаб.
Уральский федеральный округ;41.0;-18,0;3.0;-50,0;44.0;-10,2;6,4
Курганская область;4.0;300,0;1.0;100,0;3.0;200,0;25,0
Свердловская область;13.0;-27,8;2.0;-33,3;15.0;-11,8;11,8
Тюменская область;12.0;20,0;0.0;-100,0;12.0;20,0;стаб.
Челябинская область;10.0;-33,3;0.0;-100,0;12.0;-25,0;стаб.
Ханты-Мансийский автономный округ - Югра;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Ямало-Ненецкий автономный округ;1.0;-66,7;0.0;-100,0;1.0;-50,0;стаб.
Сибирский федеральный округ;54.0;-8,5;5.0;стаб.;61.0;-23,8;7,6
Республика Алтай;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Республика Тыва;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Хакасия;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Алтайский край;12.0;140,0;0.0;-100,0;16.0;166,7;стаб.
Красноярский край;9.0;-25,0;1.0;-50,0;10.0;-33,3;9,1
Иркутская область;4.0;-66,7;0.0;-100,0;4.0;-73,3;стаб.
Кемеровская область - Кузбасс;11.0;83,3;2.0;100,0;10.0;-9,1;16,7
Новосибирская область;10.0;100,0;0.0;-100,0;12.0;140,0;стаб.
Омская область;5.0;-64,3;0.0;-100,0;7.0;-69,6;стаб.
Томская область;1.0;стаб.;2.0;100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;33.0;стаб.;1.0;-83,3;36.0;16,1;2,7
Республика Бурятия;2.0;-66,7;0.0;-100,0;2.0;-66,7;стаб.
Республика Саха (Якутия);1.0;-80,0;0.0;-100,0;1.0;-75,0;стаб.
Забайкальский край;3.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Приморский край;11.0;57,1;0.0;-100,0;14.0;133,3;стаб.
Камчатский край;2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Хабаровский край;7.0;16,7;0.0;-100,0;7.0;16,7;стаб.
Амурская область;5.0;25,0;1.0;-50,0;4.0;стаб.;20,0
Магаданская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
