произошедшие по понедельникам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Омская область;14.0;-58,8;2.0;-33,3;15.0;-60,5;11,8
Томская область;3.0;-40,0;2.0;100,0;5.0;стаб.;28,6
Дальневосточный федеральный округ;116.0;23,4;13.0;18,2;147.0;20,5;8,1
Республика Бурятия;16.0;45,5;2.0;стаб.;18.0;63,6;10,0
Республика Саха (Якутия);8.0;-27,3;0.0;-100,0;8.0;-66,7;стаб.
Забайкальский край;18.0;38,5;2.0;стаб.;18.0;28,6;10,0
Приморский край;32.0;33,3;2.0;стаб.;53.0;82,8;3,6
Камчатский край;4.0;33,3;2.0;100,0;4.0;стаб.;33,3
Хабаровский край;23.0;91,7;4.0;300,0;27.0;80,0;12,9
Амурская область;9.0;-30,8;1.0;-50,0;11.0;-21,4;8,3
Магаданская область;1.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
Сахалинская область;3.0;50,0;0.0;-100,0;4.0;100,0;стаб.
Еврейская автономная область;1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
