Дорожно-транспортные происшествия, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Омская область;142.0;-21,5;5.0;-50,0;166.0;-29,4;2,9
Томская область;21.0;-8,7;4.0;300,0;23.0;-4,2;14,8
Дальневосточный федеральный округ;679.0;6,8;63.0;-29,2;852.0;7,0;6,9
Республика Бурятия;83.0;27,7;8.0;-11,1;106.0;41,3;7,0
Республика Саха (Якутия);59.0;-11,9;6.0;-33,3;67.0;-24,7;8,2
Забайкальский край;83.0;7,8;15.0;-28,6;93.0;-2,1;13,9
Приморский край;183.0;5,8;13.0;-18,8;237.0;11,8;5,2
Камчатский край;26.0;62,5;2.0;100,0;29.0;31,8;6,5
Хабаровский край;115.0;12,7;10.0;-33,3;144.0;17,1;6,5
Амурская область;82.0;-11,8;5.0;-50,0;112.0;-13,2;4,3
Магаданская область;12.0;-7,7;0.0;-100,0;21.0;31,3;стаб.
Сахалинская область;20.0;42,9;2.0;-60,0;25.0;92,3;7,4
Еврейская автономная область;13.0;-18,8;2.0;-33,3;13.0;-40,9;13,3
Чукотский автономный округ;3.0;100,0;0.0;-100,0;5.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
