произошедшие с 09 по 10 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;373.0;-8,4;34.0;61,9;461.0;-16,2;6,9
Центральный федеральный округ;99.0;стаб.;6.0;-14,3;122.0;4,3;4,7
Белгородская область;4.0;33,3;0.0;-100,0;7.0;133,3;стаб.
Брянская область;1.0;-50,0;0.0;-100,0;1.0;стаб.;стаб.
Владимирская область;3.0;-40,0;0.0;-100,0;4.0;-55,6;стаб.
Воронежская область;4.0;-42,9;1.0;100,0;8.0;-27,3;11,1
Ивановская область;4.0;100,0;1.0;100,0;8.0;100,0;11,1
Калужская область;2.0;-60,0;0.0;-100,0;4.0;-20,0;стаб.
Костромская область;5.0;150,0;0.0;-100,0;5.0;150,0;стаб.
Курская область;4.0;-20,0;0.0;-100,0;4.0;-42,9;стаб.
Липецкая область;2.0;стаб.;1.0;100,0;5.0;150,0;16,7
гор. Москва;33.0;13,8;1.0;100,0;33.0;13,8;2,9
Московская область;11.0;стаб.;1.0;-50,0;11.0;-15,4;8,3
Орловская область;1.0;-66,7;0.0;-100,0;3.0;-50,0;стаб.
Рязанская область;5.0;66,7;0.0;-100,0;6.0;100,0;стаб.
Смоленская область;2.0;-66,7;1.0;стаб.;1.0;-80,0;50,0
Тамбовская область;5.0;400,0;0.0;-100,0;5.0;400,0;стаб.
Тверская область;4.0;33,3;0.0;-100,0;4.0;33,3;стаб.
Тульская область;3.0;-57,1;0.0;-100,0;5.0;-54,5;стаб.
Ярославская область;6.0;20,0;0.0;-100,0;8.0;33,3;стаб.
Северо-Западный федеральный округ;46.0;70,4;5.0;100,0;54.0;58,8;8,5
Республика Карелия;2.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Республика Коми;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Архангельская область;1.0;-50,0;1.0;100,0;0.0;-100,0;стаб.
Вологодская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Калининградская область;8.0;100,0;3.0;100,0;9.0;125,0;25,0
Ленинградская область;5.0;25,0;1.0;100,0;5.0;-16,7;16,7
гор. Санкт-Петербург;15.0;66,7;0.0;-100,0;15.0;66,7;стаб.
Мурманская область;3.0;50,0;0.0;-100,0;6.0;стаб.;стаб.
Новгородская область;5.0;100,0;0.0;-100,0;7.0;100,0;стаб.
Псковская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;56.0;7,7;6.0;500,0;60.0;-31,0;9,1
Республика Адыгея (Адыгея);2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Калмыкия;2.0;-50,0;0.0;-100,0;2.0;-66,7;стаб.
Республика Крым;4.0;стаб.;0.0;-100,0;4.0;-33,3;стаб.
Краснодарский край;22.0;-4,3;2.0;100,0;23.0;-17,9;8,0
Астраханская область;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Волгоградская область;11.0;57,1;0.0;-100,0;15.0;-16,7;стаб.
Ростовская область;12.0;20,0;4.0;100,0;10.0;-60,0;28,6
гор. Севастополь;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Северо-Кавказский федеральный округ;23.0;4,5;4.0;33,3;27.0;-15,6;12,9
Республика Дагестан;4.0;33,3;0.0;-100,0;6.0;20,0;стаб.
Республика Ингушетия;1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Кабардино-Балкарская Республика;3.0;-40,0;1.0;100,0;3.0;-50,0;25,0
Карачаево-Черкесская Республика;1.0;стаб.;1.0;100,0;1.0;стаб.;50,0
Республика Северная Осетия-Алания;4.0;стаб.;0.0;-100,0;4.0;-55,6;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;10.0;66,7;2.0;100,0;12.0;71,4;14,3
Приволжский федеральный округ;63.0;-42,7;9.0;200,0;75.0;-53,1;10,7
Республика Башкортостан;3.0;-78,6;0.0;-100,0;3.0;-88,9;стаб.
Республика Марий Эл;1.0;-66,7;0.0;-100,0;1.0;-83,3;стаб.
Республика Мордовия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);6.0;-57,1;2.0;100,0;5.0;-75,0;28,6
Удмуртская Республика;5.0;-16,7;0.0;-100,0;5.0;-44,4;стаб.
Чувашская Республика - Чувашия;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Пермский край;4.0;-20,0;0.0;-100,0;5.0;-16,7;стаб.
Кировская область;4.0;-55,6;0.0;-100,0;4.0;-55,6;стаб.
Нижегородская область;13.0;-18,8;1.0;100,0;16.0;-15,8;5,9
Оренбургская область;3.0;стаб.;1.0;100,0;7.0;133,3;12,5
Пензенская область;6.0;-14,3;0.0;-100,0;10.0;-28,6;стаб.
Самарская область;7.0;-41,7;1.0;100,0;7.0;-50,0;12,5
Саратовская область;8.0;60,0;4.0;100,0;8.0;-20,0;33,3
Ульяновская область;2.0;-75,0;0.0;-100,0;3.0;-62,5;стаб.
Уральский федеральный округ;23.0;-11,5;2.0;стаб.;29.0;3,6;6,5
Курганская область;2.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Свердловская область;6.0;100,0;1.0;стаб.;9.0;50,0;10,0
Тюменская область;6.0;20,0;0.0;-100,0;7.0;40,0;стаб.
