произошедшие с 00 по 01 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;166.0;-7,3;32.0;-23,8;218.0;-9,9;12,8
Центральный федеральный округ;40.0;-21,6;8.0;-33,3;50.0;-25,4;13,8
Белгородская область;2.0;100,0;0.0;-100,0;4.0;300,0;стаб.
Брянская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Владимирская область;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Воронежская область;5.0;100,0;4.0;100,0;7.0;100,0;36,4
Ивановская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Калужская область;3.0;50,0;0.0;-100,0;5.0;150,0;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Липецкая область;2.0;-33,3;0.0;-100,0;2.0;-50,0;стаб.
гор. Москва;9.0;-35,7;1.0;стаб.;9.0;-43,8;10,0
Московская область;6.0;-25,0;1.0;-85,7;7.0;стаб.;12,5
Орловская область;1.0;-50,0;0.0;-100,0;3.0;50,0;стаб.
Рязанская область;1.0;-66,7;1.0;100,0;0.0;-100,0;стаб.
Смоленская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Тамбовская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тверская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Тульская область;5.0;-37,5;0.0;-100,0;6.0;-60,0;стаб.
Ярославская область;3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Северо-Западный федеральный округ;12.0;-29,4;1.0;-66,7;13.0;-38,1;7,1
Республика Карелия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Коми;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Архангельская область;1.0;-50,0;0.0;-100,0;1.0;-75,0;стаб.
Вологодская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Калининградская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ленинградская область;5.0;400,0;1.0;стаб.;5.0;66,7;16,7
гор. Санкт-Петербург;3.0;-70,0;0.0;-100,0;3.0;-70,0;стаб.
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Псковская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;23.0;15,0;4.0;стаб.;27.0;12,5;12,9
Республика Адыгея (Адыгея);2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Калмыкия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Крым;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Краснодарский край;10.0;25,0;2.0;100,0;13.0;30,0;13,3
Астраханская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Волгоградская область;5.0;150,0;1.0;стаб.;5.0;400,0;16,7
Ростовская область;6.0;200,0;1.0;100,0;7.0;250,0;12,5
гор. Севастополь;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Северо-Кавказский федеральный округ;9.0;-10,0;4.0;300,0;11.0;-50,0;26,7
Республика Дагестан;3.0;100,0;2.0;100,0;3.0;100,0;40,0
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;1.0;-50,0;0.0;-100,0;1.0;-80,0;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;1.0;-50,0;1.0;стаб.;0.0;-100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;4.0;-20,0;1.0;100,0;7.0;-30,0;12,5
Приволжский федеральный округ;39.0;50,0;9.0;80,0;63.0;40,0;12,5
Республика Башкортостан;3.0;-50,0;0.0;-100,0;3.0;-50,0;стаб.
Республика Марий Эл;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Мордовия;2.0;100,0;1.0;100,0;2.0;100,0;33,3
Республика Татарстан (Татарстан);2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Удмуртская Республика;3.0;100,0;1.0;100,0;4.0;100,0;20,0
Чувашская Республика - Чувашия;2.0;-50,0;0.0;-100,0;3.0;-62,5;стаб.
Пермский край;6.0;50,0;3.0;50,0;4.0;-33,3;42,9
Кировская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Нижегородская область;3.0;стаб.;0.0;-100,0;3.0;-72,7;стаб.
Оренбургская область;4.0;300,0;1.0;100,0;6.0;500,0;14,3
Пензенская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Самарская область;10.0;400,0;3.0;100,0;31.0;933,3;8,8
Саратовская область;3.0;200,0;0.0;-100,0;3.0;50,0;стаб.
Ульяновская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Уральский федеральный округ;10.0;-41,2;2.0;-60,0;17.0;-19,0;10,5
Курганская область;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Свердловская область;3.0;-40,0;0.0;-100,0;5.0;стаб.;стаб.
Тюменская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Челябинская область;6.0;20,0;2.0;100,0;11.0;120,0;15,4
Ханты-Мансийский автономный округ - Югра;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;18.0;-25,0;1.0;-85,7;21.0;-16,0;4,5
Республика Алтай;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Тыва;1.0;стаб.;0.0;-100,0;1.0;-75,0;стаб.
Республика Хакасия;3.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Алтайский край;4.0;33,3;0.0;-100,0;5.0;150,0;стаб.
Красноярский край;2.0;-50,0;0.0;-100,0;3.0;стаб.;стаб.
Иркутская область;2.0;-60,0;0.0;-100,0;4.0;-42,9;стаб.
Кемеровская область - Кузбасс;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Новосибирская область;1.0;-80,0;1.0;-50,0;0.0;-100,0;стаб.
Омская область;2.0;-50,0;0.0;-100,0;2.0;-33,3;стаб.
Томская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;15.0;7,1;3.0;-40,0;16.0;-5,9;15,8
Республика Бурятия;2.0;100,0;1.0;100,0;1.0;100,0;50,0
Республика Саха (Якутия);0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Забайкальский край;3.0;50,0;1.0;стаб.;3.0;стаб.;25,0
Приморский край;2.0;-71,4;0.0;-100,0;2.0;-80,0;стаб.
Камчатский край;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Хабаровский край;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Амурская область;5.0;400,0;0.0;-100,0;6.0;500,0;стаб.
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;1.0;100,0;1.0;100,0;2.0;100,0;33,3
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 01 по 02 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;120.0;-22,1;26.0;-18,8;138.0;-32,0;15,9
Центральный федеральный округ;29.0;-3,3;8.0;-11,1;35.0;-10,3;18,6
Белгородская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Брянская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Владимирская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Воронежская область;5.0;66,7;0.0;-100,0;5.0;стаб.;стаб.
Ивановская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Калужская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;2.0;100,0;1.0;100,0;4.0;300,0;20,0
