со стажем управления от 5 до 10 лет, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Кемеровская область - Кузбасс;16.0;-20,0;5.0;400,0;18.0;-41,9;21,7
Новосибирская область;15.0;7,1;1.0;100,0;18.0;стаб.;5,3
Омская область;12.0;-29,4;0.0;-100,0;13.0;-55,2;стаб.
Томская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Дальневосточный федеральный округ;70.0;-12,5;3.0;стаб.;96.0;-7,7;3,0
Республика Бурятия;7.0;-12,5;2.0;100,0;7.0;-30,0;22,2
Республика Саха (Якутия);7.0;40,0;0.0;-100,0;8.0;33,3;стаб.
Забайкальский край;4.0;-69,2;0.0;-100,0;4.0;-75,0;стаб.
Приморский край;17.0;-22,7;1.0;стаб.;21.0;-27,6;4,5
Камчатский край;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Хабаровский край;20.0;42,9;0.0;-100,0;33.0;106,3;стаб.
Амурская область;7.0;-41,7;0.0;-100,0;13.0;-31,6;стаб.
Магаданская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Сахалинская область;5.0;100,0;0.0;-100,0;5.0;100,0;стаб.
Еврейская автономная область;1.0;-66,7;0.0;-100,0;2.0;-60,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
