  водителями-мужчинами, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Омская область;91.0;-18,0;3.0;-62,5;111.0;-27,5;2,6
Томская область;14.0;-6,7;4.0;300,0;15.0;-6,3;21,1
Дальневосточный федеральный округ;476.0;4,6;53.0;-24,3;609.0;2,4;8,0
Республика Бурятия;57.0;32,6;7.0;16,7;67.0;24,1;9,5
Республика Саха (Якутия);44.0;-13,7;5.0;-37,5;44.0;-38,0;10,2
Забайкальский край;63.0;12,5;11.0;-35,3;74.0;1,4;12,9
Приморский край;116.0;-3,3;11.0;стаб.;164.0;7,2;6,3
Камчатский край;22.0;69,2;2.0;100,0;25.0;31,6;7,4
Хабаровский край;84.0;12,0;9.0;-25,0;109.0;14,7;7,6
Амурская область;55.0;-16,7;4.0;-42,9;78.0;-20,4;4,9
Магаданская область;8.0;-11,1;0.0;-100,0;16.0;77,8;стаб.
Сахалинская область;16.0;77,8;2.0;-60,0;20.0;150,0;9,1
Еврейская автономная область;9.0;-30,8;2.0;-33,3;8.0;-46,7;20,0
Чукотский автономный округ;2.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
